drug_1_concept_name,drug_2_concept_name,condition_concept_name,PRR
Aspirin,Betaxolol,Drug toxicity,1.66667
Diclofenac,Cetirizine,Drug toxicity,3.0
Diclofenac,Cetirizine,Toxicity to various agents,6.15385
mosapride,Lithium Carbonate,Toxicity to various agents,10.0
maraviroc,etravirine,Hepatotoxicity,10.0
maraviroc,etravirine,Toxicity to various agents,2.5
Piperacillin,clopidogrel,Hepatotoxicity,10.0
Piperacillin,clopidogrel,Toxicity to various agents,10.0
Levodopa,rofecoxib,Toxicity to various agents,3.33333
Methadone,Erythromycin,Therapeutic agent toxicity,10.0
Methadone,Erythromycin,Toxicity to various agents,10.0
Methadone,atorvastatin,Drug toxicity,3.33333
Diltiazem,adalimumab,Hepatotoxicity,1.0
Diltiazem,adalimumab,Toxicity to various agents,0.487805
Isosorbide,"Insulin, Aspart, Human",Drug toxicity,0.714286
Isosorbide,"Insulin, Aspart, Human",Pulmonary toxicity,20.0
Isosorbide,"Insulin, Aspart, Human",Toxicity to various agents,2.14286
candesartan,infliximab,Hepatotoxicity,5.0
fluticasone,Sertraline,Drug toxicity,0.526316
fluticasone,Sertraline,Therapeutic agent toxicity,2.5
fluticasone,Sertraline,Toxicity to various agents,1.23457
heparin,Ondansetron,Haematotoxicity,5.0
heparin,Ondansetron,Hepatotoxicity,1.0
heparin,Ondansetron,Drug toxicity,2.14286
heparin,Ondansetron,Neurotoxicity,20.0
heparin,Ondansetron,Therapeutic agent toxicity,0.909091
heparin,Ondansetron,Toxicity to various agents,1.59091
Isosorbide Dinitrate,ranolazine,Toxicity to various agents,2.5
Acetaminophen,Rabbit anti-human T-lymphocyte globulin,Cardiotoxicity,10.0
Acetaminophen,Rabbit anti-human T-lymphocyte globulin,Hepatotoxicity,2.5
Acetaminophen,Rabbit anti-human T-lymphocyte globulin,Drug toxicity,4.0
Acetaminophen,Rabbit anti-human T-lymphocyte globulin,Neurotoxicity,10.0
Acetaminophen,Rabbit anti-human T-lymphocyte globulin,Toxicity to various agents,0.588235
valacyclovir,Amantadine,Toxicity to various agents,10.0
Granisetron,Iron,Toxicity to various agents,5.0
Hydrocortisone,voriconazole,Hepatotoxicity,6.66667
Ramipril,Finasteride,Toxicity to various agents,5.71429
Ranitidine,gemcitabine,Cardiotoxicity,10.0
Ranitidine,gemcitabine,Drug toxicity,11.4286
Ranitidine,gemcitabine,Pulmonary toxicity,20.0
Ranitidine,gemcitabine,Toxicity to various agents,1.25
Nystatin,rabeprazole,Toxicity to various agents,5.0
POLYETHYLENE GLYCOL 3350,Loratadine,Toxicity to various agents,1.33333
Diphenhydramine,Cocaine,Drug toxicity,21.25
Diphenhydramine,Cocaine,Pulmonary toxicity,5.0
Diphenhydramine,Cocaine,Toxicity to various agents,66.3636
Clonazepam,"Regular Insulin, Human",Toxicity to various agents,0.833333
Orphenadrine,lansoprazole,Drug toxicity,5.0
Lovastatin,meloxicam,Drug toxicity,2.85714
Lovastatin,meloxicam,Toxicity to various agents,2.85714
quetiapine,Loratadine,Drug toxicity,1.0
quetiapine,Loratadine,Therapeutic agent toxicity,5.0
quetiapine,Loratadine,Toxicity to various agents,4.05405
Acetaminophen,Daptomycin,Drug toxicity,1.25
Acetaminophen,Daptomycin,Pulmonary toxicity,10.0
Acetaminophen,Daptomycin,Toxicity to various agents,2.35294
iron sucrose,Metoprolol,Toxicity to various agents,1.81818
Prednisone,Dornase Alfa,Ototoxicity,10.0
Prednisone,Dornase Alfa,Drug toxicity,5.0
salmeterol,Haloperidol,Drug toxicity,10.0
salmeterol,Haloperidol,Toxicity to various agents,10.0
Leuprolide,Ranitidine,Toxicity to various agents,2.5
meloxicam,Atenolol,Drug toxicity,0.37037
meloxicam,Atenolol,Therapeutic agent toxicity,3.33333
meloxicam,Atenolol,Toxicity to various agents,0.322581
Hydrochlorothiazide,Amiloride,Hepatotoxicity,10.0
Hydrochlorothiazide,Amiloride,Drug toxicity,1.36364
Hydrochlorothiazide,Amiloride,Neurotoxicity,6.66667
Hydrochlorothiazide,Amiloride,Therapeutic agent toxicity,50.0
Hydrochlorothiazide,Amiloride,Toxicity to various agents,2.41379
Warfarin,Amiloride,Drug toxicity,2.0
Warfarin,Amiloride,Therapeutic agent toxicity,20.0
Warfarin,Amiloride,Toxicity to various agents,2.0
vinorelbine,Tamoxifen,Cardiotoxicity,10.0
vinorelbine,Tamoxifen,Toxicity to various agents,2.0
Diclofenac,Labetalol,Toxicity to various agents,5.0
Loxapine,Buprenorphine,Hepatotoxicity,3.33333
Loxapine,Buprenorphine,Toxicity to various agents,1.53846
Phenytoin,Doxycycline,Drug toxicity,6.66667
Phenytoin,Doxycycline,Toxicity to various agents,10.0
Ranitidine,Hydroxychloroquine,Toxicity to various agents,1.76471
Spironolactone,Iron,Drug toxicity,2.5
Spironolactone,Iron,Therapeutic agent toxicity,35.0
Spironolactone,Iron,Toxicity to various agents,2.5
Penicillin V,Amitriptyline,Drug toxicity,10.0
Penicillin V,Amitriptyline,Toxicity to various agents,3.33333
benzonatate,Levofloxacin,Drug toxicity,3.33333
benzonatate,Levofloxacin,Toxicity to various agents,3.63636
Vitamin D,Insulin Lispro,Drug toxicity,0.740741
Vitamin D,Insulin Lispro,Therapeutic agent toxicity,5.0
Trimeprazine,Hydroxyzine,Drug toxicity,3.33333
Trimeprazine,Hydroxyzine,Toxicity to various agents,40.0
palonosetron,Prednisone,Toxicity to various agents,3.33333
Hydrocortisone,modafinil,Toxicity to various agents,5.0
Esomeprazole,eculizumab,Toxicity to various agents,2.0
Capsaicin,Lovastatin,Toxicity to various agents,10.0
Budesonide,Insulin Lispro,Toxicity to various agents,10.0
glimepiride,Dicyclomine,Drug toxicity,2.5
glimepiride,Dicyclomine,Therapeutic agent toxicity,20.0
Buprenorphine,"Insulin, Aspart, Human",Drug toxicity,3.33333
ferrous gluconate,Potassium Chloride,Toxicity to various agents,3.33333
Vitamin A,Teriparatide,Drug toxicity,1.42857
Methadone,Albuterol,Drug toxicity,7.77778
Methadone,Albuterol,Toxicity to various agents,3.33333
isoniazid,Pyrazinamide,Cardiotoxicity,1.25
isoniazid,Pyrazinamide,Hepatotoxicity,65.0
isoniazid,Pyrazinamide,Drug toxicity,1.89655
isoniazid,Pyrazinamide,Neurotoxicity,13.3333
isoniazid,Pyrazinamide,Skin toxicity,5.0
isoniazid,Pyrazinamide,Toxicity to various agents,1.3913
liothyronine,nabumetone,Toxicity to various agents,10.0
tiagabine,Sertraline,Drug toxicity,15.0
Atazanavir,Nelfinavir,Drug toxicity,3.33333
Ciprofloxacin,Cimetidine,Drug toxicity,40.0
Ciprofloxacin,Cimetidine,Toxicity to various agents,4.0
Bumetanide,Iron,Drug toxicity,6.66667
Bumetanide,Iron,Toxicity to various agents,10.0
Erythromycin,Albuterol,Drug toxicity,3.33333
Erythromycin,Albuterol,Therapeutic agent toxicity,40.0
Erythromycin,Albuterol,Toxicity to various agents,3.5
Paroxetine,rofecoxib,Drug toxicity,2.4
Paroxetine,rofecoxib,Therapeutic agent toxicity,5.0
Famotidine,Clarithromycin,Bone marrow toxicity,10.0
Famotidine,Clarithromycin,Drug toxicity,3.0
Famotidine,Clarithromycin,Neurotoxicity,2.5
Famotidine,Clarithromycin,Toxicity to various agents,1.76471
Acetylcysteine,Epoetin Alfa,Toxicity to various agents,10.0
efavirenz,gabapentin,Drug toxicity,10.0
tapentadol,Omeprazole,Hepatotoxicity,5.0
tapentadol,Omeprazole,Neurotoxicity,5.0
Guaifenesin,Brompheniramine,Toxicity to various agents,40.0
Furosemide,Amphotericin B,Bone marrow toxicity,10.0
Furosemide,Amphotericin B,Hepatotoxicity,7.5
Furosemide,Amphotericin B,Drug toxicity,2.14286
Furosemide,Amphotericin B,Therapeutic agent toxicity,20.0
Furosemide,Amphotericin B,Toxicity to various agents,0.5
Betamethasone,Clarithromycin,Skin toxicity,10.0
Betamethasone,Clarithromycin,Toxicity to various agents,5.0
atorvastatin,lormetazepam,Toxicity to various agents,5.0
rosuvastatin,bicalutamide,Toxicity to various agents,1.66667
Amphotericin B,Hydroxyzine,Haematotoxicity,10.0
Amphotericin B,Hydroxyzine,Hepatotoxicity,20.0
Amphotericin B,Hydroxyzine,Drug toxicity,5.0
Amphotericin B,Hydroxyzine,Toxicity to various agents,3.33333
Isosorbide Dinitrate,pantethine,Therapeutic agent toxicity,10.0
fluindione,Amitriptyline,Toxicity to various agents,3.33333
Sodium Bicarbonate,silver sulfadiazine,Therapeutic agent toxicity,10.0
Calcium Carbonate,Cetirizine,Neurotoxicity,2.5
Calcium Carbonate,Cetirizine,Therapeutic agent toxicity,2.5
Calcium Carbonate,Cetirizine,Toxicity to various agents,0.322581
tenofovir disoproxil,moxifloxacin,Hepatotoxicity,10.0
tenofovir disoproxil,moxifloxacin,Drug toxicity,10.0
Fenofibrate,sitagliptin,Therapeutic agent toxicity,6.0
Fenofibrate,sitagliptin,Toxicity to various agents,1.11111
Amitriptyline,Acyclovir,Hepatotoxicity,2.0
Amitriptyline,Acyclovir,Drug toxicity,10.0
Amitriptyline,Acyclovir,Neurotoxicity,1.42857
Amitriptyline,Acyclovir,Therapeutic agent toxicity,3.33333
Amitriptyline,Acyclovir,Toxicity to various agents,2.77778
glimepiride,venlafaxine,Toxicity to various agents,4.375
nebivolol,Clonazepam,Toxicity to various agents,2.22222
Furosemide,Allopurinol,Bone marrow toxicity,0.666667
Furosemide,Allopurinol,Cardiotoxicity,1.5625
Furosemide,Allopurinol,Gastrointestinal toxicity,1.66667
Furosemide,Allopurinol,Hepatotoxicity,1.40496
Furosemide,Allopurinol,Drug toxicity,1.26316
Furosemide,Allopurinol,Neurotoxicity,1.25
Furosemide,Allopurinol,Pulmonary toxicity,2.22222
Furosemide,Allopurinol,Skin toxicity,0.588235
Furosemide,Allopurinol,Therapeutic agent toxicity,5.57143
Furosemide,Allopurinol,Toxicity to various agents,1.50407
Glipizide,Omega-3 Acid Ethyl Esters (USP),Toxicity to various agents,3.33333
Bumetanide,Epoetin Alfa,Toxicity to various agents,4.0
Aspirin,Clavulanate,Haematotoxicity,10.0
Aspirin,Clavulanate,Hepatotoxicity,6.66667
Aspirin,Clavulanate,Drug toxicity,0.769231
Aspirin,Clavulanate,Therapeutic agent toxicity,6.0
Aspirin,Clavulanate,Toxicity to various agents,1.5
Acetaminophen,Methylergonovine,Toxicity to various agents,20.0
Sulfamethoxazole,Dipyrone,Drug toxicity,6.66667
salmeterol,tamsulosin,Therapeutic agent toxicity,10.0
salmeterol,tamsulosin,Toxicity to various agents,1.81818
palonosetron,lenalidomide,Toxicity to various agents,1.42857
"Estrogens, Conjugated (USP)",moxifloxacin,Toxicity to various agents,5.0
Pyrazinamide,Vancomycin,Toxicity to various agents,5.0
Gemfibrozil,Benztropine,Therapeutic agent toxicity,10.0
Gemfibrozil,Benztropine,Toxicity to various agents,30.0
Thioridazine,Diazepam,Drug toxicity,10.0
Thioridazine,Diazepam,Toxicity to various agents,10.0
Sulfamethoxazole,Pentamidine,Haematotoxicity,30.0
Sulfamethoxazole,Pentamidine,Gastrointestinal toxicity,5.0
Sulfamethoxazole,Pentamidine,Hepatotoxicity,6.0
Sulfamethoxazole,Pentamidine,Drug toxicity,1.25
Sulfamethoxazole,Pentamidine,Neurotoxicity,20.0
Sulfamethoxazole,Pentamidine,Toxicity to various agents,2.85714
brimonidine,montelukast,Drug toxicity,5.0
repaglinide,Verapamil,Drug toxicity,5.0
repaglinide,Verapamil,Toxicity to various agents,2.5
Diphenhydramine,Memantine,Toxicity to various agents,70.0
Cisplatin,Dopamine,Hepatotoxicity,20.0
Calcium Citrate,Prednisone,Drug toxicity,1.0
Calcium Citrate,Prednisone,Toxicity to various agents,0.769231
Ibandronate,Trazodone,Toxicity to various agents,6.66667
zaleplon,Haloperidol,Toxicity to various agents,10.0
Chlorthalidone,cilostazol,Toxicity to various agents,10.0
Ritonavir,Indinavir,Haematotoxicity,5.0
Ritonavir,Indinavir,Hepatotoxicity,10.0
Ritonavir,Indinavir,Drug toxicity,16.0
Ritonavir,Indinavir,Therapeutic agent toxicity,5.0
Glipizide,Cephalexin,Drug toxicity,5.0
Glipizide,Cephalexin,Therapeutic agent toxicity,30.0
Glipizide,Cephalexin,Toxicity to various agents,5.71429
Furosemide,Nitrazepam,Drug toxicity,5.0
Furosemide,Nitrazepam,Therapeutic agent toxicity,6.66667
Fludrocortisone,Hydromorphone,Toxicity to various agents,10.0
pioglitazone,Ciprofloxacin,Therapeutic agent toxicity,30.0
pioglitazone,Ciprofloxacin,Toxicity to various agents,2.0
travoprost,POLYETHYLENE GLYCOL 3350,Toxicity to various agents,5.0
Albuterol,peginterferon alfa-2a,Haematotoxicity,6.66667
Albuterol,peginterferon alfa-2a,Toxicity to various agents,2.66667
Hydrochlorothiazide,lansoprazole,Haematotoxicity,0.833333
Hydrochlorothiazide,lansoprazole,Cardiotoxicity,1.0
Hydrochlorothiazide,lansoprazole,Drug toxicity,0.461538
Hydrochlorothiazide,lansoprazole,Therapeutic agent toxicity,1.875
Hydrochlorothiazide,lansoprazole,Toxicity to various agents,1.26126
"Albumin Human, USP",Dopamine,Drug toxicity,2.0
"Albumin Human, USP",Dopamine,Neurotoxicity,30.0
"Albumin Human, USP",Dopamine,Therapeutic agent toxicity,10.0
"Albumin Human, USP",Dopamine,Toxicity to various agents,3.75
Ramipril,Amphotericin B,Drug toxicity,3.33333
olmesartan,zopiclone,Toxicity to various agents,8.0
infliximab,Dextroamphetamine,Toxicity to various agents,10.0
Fenofibrate,Triamcinolone,Drug toxicity,3.33333
Fenofibrate,Triamcinolone,Toxicity to various agents,2.0
dorzolamide,Isosorbide,Toxicity to various agents,3.33333
Metronidazole,glimepiride,Drug toxicity,3.33333
Metronidazole,glimepiride,Toxicity to various agents,5.0
Naloxone,Citalopram,Drug toxicity,10.0
Naloxone,Citalopram,Toxicity to various agents,10.0
rosuvastatin,Omega-3 Acid Ethyl Esters (USP),Therapeutic agent toxicity,1.25
rosuvastatin,Omega-3 Acid Ethyl Esters (USP),Toxicity to various agents,1.17647
metaproterenol,Omeprazole,Drug toxicity,6.0
metaproterenol,Omeprazole,Neurotoxicity,3.33333
metaproterenol,Omeprazole,Therapeutic agent toxicity,20.0
metaproterenol,Omeprazole,Toxicity to various agents,0.909091
Magnesium Hydroxide,Haloperidol,Drug toxicity,20.0
Magnesium Hydroxide,Haloperidol,Toxicity to various agents,1.66667
Bupropion,trastuzumab,Toxicity to various agents,5.0
Folic Acid,Phenobarbital,Drug toxicity,5.0
Folic Acid,Phenobarbital,Toxicity to various agents,1.0
Amlodipine,Ambroxol,Toxicity to various agents,2.0
Eszopiclone,Valproate,Drug toxicity,5.71429
Eszopiclone,Valproate,Toxicity to various agents,4.0
Azithromycin,Bumetanide,Drug toxicity,5.0
Azithromycin,Bumetanide,Toxicity to various agents,20.0
Procyclidine,Clozapine,Hepatotoxicity,1.0
Procyclidine,Clozapine,Drug toxicity,2.72727
Procyclidine,Clozapine,Neurotoxicity,5.0
Procyclidine,Clozapine,Therapeutic agent toxicity,5.0
Procyclidine,Clozapine,Toxicity to various agents,10.8333
Tacrolimus,Dicyclomine,Toxicity to various agents,5.0
Nifedipine,Sodium Chloride,Drug toxicity,3.33333
Nifedipine,Sodium Chloride,Neurotoxicity,10.0
Triazolam,Lithium,Toxicity to various agents,20.0
Sucralfate,Paroxetine,Drug toxicity,3.33333
Sucralfate,Paroxetine,Toxicity to various agents,4.44444
Clavulanate,Povidone-Iodine,Toxicity to various agents,2.5
flunisolide,Levalbuterol,Toxicity to various agents,5.0
Vitamin B 12,zoledronic acid,Gastrointestinal toxicity,10.0
Vitamin B 12,zoledronic acid,Skin toxicity,10.0
Lidocaine,Doxepin,Drug toxicity,30.0
Vitamin D,sevelamer,Toxicity to various agents,1.66667
pregabalin,Hydromorphone,Hepatotoxicity,6.36364
pregabalin,Hydromorphone,Drug toxicity,2.38095
pregabalin,Hydromorphone,Neurotoxicity,2.0
pregabalin,Hydromorphone,Therapeutic agent toxicity,6.66667
pregabalin,Hydromorphone,Toxicity to various agents,4.04762
Acetaminophen,denosumab,Haematotoxicity,3.33333
Acetaminophen,denosumab,Skin toxicity,5.0
Acetaminophen,denosumab,Toxicity to various agents,0.25
Cyclophosphamide,Insulin Glargine,Therapeutic agent toxicity,10.0
Lactulose,Cefazolin,Hepatotoxicity,10.0
Lactulose,Cefazolin,Toxicity to various agents,5.0
prednisolone,Alprazolam,Toxicity to various agents,3.33333
enfuvirtide,Amitriptyline,Toxicity to various agents,5.0
Vitamin D,Atovaquone,Toxicity to various agents,30.0
Prochlorperazine,Meclizine,Drug toxicity,2.5
mercaptopurine,Citalopram,Toxicity to various agents,2.0
Paroxetine,Clomipramine,Drug toxicity,7.5
Paroxetine,Clomipramine,Toxicity to various agents,1.81818
Tacrolimus,Lorazepam,Hepatotoxicity,5.0
Tacrolimus,Lorazepam,Drug toxicity,13.3333
Tacrolimus,Lorazepam,Neurotoxicity,1.66667
Tacrolimus,Lorazepam,Toxicity to various agents,1.33333
venlafaxine,standardized senna concentrate,Toxicity to various agents,3.33333
valsartan,cabergoline,Toxicity to various agents,10.0
Enoxaparin,sodium phosphate,Toxicity to various agents,10.0
Carisoprodol,carvedilol,Toxicity to various agents,9.09091
Bumetanide,Chlordiazepoxide,Toxicity to various agents,5.0
Warfarin,Solifenacin,Drug toxicity,2.0
Warfarin,Solifenacin,Toxicity to various agents,3.52941
Amlodipine,Magnesium Oxide,Haematotoxicity,1.66667
Amlodipine,Magnesium Oxide,Drug toxicity,0.483871
Amlodipine,Magnesium Oxide,Neurotoxicity,0.714286
Amlodipine,Magnesium Oxide,Therapeutic agent toxicity,2.66667
Amlodipine,Magnesium Oxide,Toxicity to various agents,0.851064
valsartan,Ribavirin,Toxicity to various agents,1.25
Famotidine,Lactulose,Hepatotoxicity,2.0
Famotidine,Lactulose,Drug toxicity,2.5
Famotidine,Lactulose,Neurotoxicity,2.5
Famotidine,Lactulose,Therapeutic agent toxicity,10.0
Famotidine,Lactulose,Toxicity to various agents,0.833333
zolpidem,anastrozole,Hepatotoxicity,1.42857
zolpidem,anastrozole,Drug toxicity,0.666667
zolpidem,anastrozole,Toxicity to various agents,2.66667
Sumatriptan,Lithium Carbonate,Drug toxicity,10.0
Tramadol,Iron,Therapeutic agent toxicity,6.66667
Tramadol,Iron,Toxicity to various agents,0.769231
Nystatin,Propranolol,Hepatotoxicity,5.0
Nystatin,Propranolol,Toxicity to various agents,5.0
prednisolone,Ondansetron,Haematotoxicity,10.0
prednisolone,Ondansetron,Cardiotoxicity,10.0
prednisolone,Ondansetron,Neurotoxicity,13.3333
prednisolone,Ondansetron,Skin toxicity,10.0
prednisolone,Ondansetron,Toxicity to various agents,2.04545
lanthanum carbonate,Furosemide,Therapeutic agent toxicity,3.33333
Ramipril,darbepoetin alfa,Cardiotoxicity,5.0
Ramipril,darbepoetin alfa,Gastrointestinal toxicity,10.0
Ramipril,darbepoetin alfa,Hepatotoxicity,2.5
Ramipril,darbepoetin alfa,Drug toxicity,3.33333
Ramipril,darbepoetin alfa,Therapeutic agent toxicity,2.0
Ramipril,darbepoetin alfa,Toxicity to various agents,0.5
lansoprazole,Nefopam,Drug toxicity,2.5
Potassium,Calcium Gluconate,Neurotoxicity,5.0
Potassium,Calcium Gluconate,Toxicity to various agents,10.0
Ciprofloxacin,Calcitriol,Toxicity to various agents,1.42857
romiplostim,rituximab,Toxicity to various agents,0.322581
Potassium Chloride,Ceftazidime,Toxicity to various agents,6.66667
Furosemide,Rasburicase,Hepatotoxicity,20.0
Furosemide,Rasburicase,Drug toxicity,2.0
meropenem,atorvastatin,Toxicity to various agents,1.66667
Bupivacaine,Ondansetron,Hepatotoxicity,10.0
Bupivacaine,Ondansetron,Drug toxicity,2.0
rosiglitazone,Bumetanide,Drug toxicity,3.33333
rosiglitazone,Bumetanide,Therapeutic agent toxicity,5.0
rosiglitazone,Bumetanide,Toxicity to various agents,5.0
atorvastatin,loxoprofen,Drug toxicity,1.11111
atorvastatin,loxoprofen,Toxicity to various agents,0.769231
Felodipine,Calcium,Cardiotoxicity,10.0
Felodipine,Calcium,Toxicity to various agents,2.0
Folic Acid,"Regular Insulin, Human",Toxicity to various agents,3.33333
Acenocoumarol,Clarithromycin,Toxicity to various agents,2.5
Spironolactone,Melatonin,Drug toxicity,5.0
Spironolactone,Melatonin,Toxicity to various agents,10.0
Alprazolam,Leucovorin,Cardiotoxicity,20.0
Alprazolam,Leucovorin,Hepatotoxicity,10.0
Alprazolam,Leucovorin,Drug toxicity,7.5
Nitrofurantoin,quetiapine,Toxicity to various agents,13.3333
Tramadol,Methotrexate,Bone marrow toxicity,20.0
Tramadol,Methotrexate,Cardiotoxicity,0.769231
Tramadol,Methotrexate,Hepatotoxicity,0.689655
Tramadol,Methotrexate,Drug toxicity,0.779221
Tramadol,Methotrexate,Neurotoxicity,1.33333
Tramadol,Methotrexate,Therapeutic agent toxicity,0.952381
Tramadol,Methotrexate,Toxicity to various agents,0.57971
valdecoxib,Ranitidine,Toxicity to various agents,3.33333
montelukast,Fluorouracil,Toxicity to various agents,5.0
rosuvastatin,sorafenib,Hepatotoxicity,5.0
Furosemide,Doxercalciferol,Hepatotoxicity,10.0
Furosemide,Doxercalciferol,Toxicity to various agents,2.0
Itraconazole,rituximab,Cardiotoxicity,10.0
Itraconazole,rituximab,Toxicity to various agents,5.0
Ipratropium,carvedilol,Hepatotoxicity,1.42857
Ipratropium,carvedilol,Therapeutic agent toxicity,50.0
Ipratropium,carvedilol,Toxicity to various agents,4.78261
Diazepam,Itraconazole,Toxicity to various agents,10.0
rosuvastatin,desloratadine,Toxicity to various agents,2.0
Famotidine,Paroxetine,Haematotoxicity,10.0
Famotidine,Paroxetine,Drug toxicity,1.66667
Famotidine,Paroxetine,Therapeutic agent toxicity,2.0
Famotidine,Paroxetine,Toxicity to various agents,0.3125
candesartan,irbesartan,Toxicity to various agents,1.66667
Levodopa,heparin,Hepatotoxicity,10.0
salmeterol,Iron,Drug toxicity,1.0
salmeterol,Iron,Therapeutic agent toxicity,15.0
salmeterol,Iron,Toxicity to various agents,2.30769
Fentanyl,Alprazolam,Haematotoxicity,0.666667
Fentanyl,Alprazolam,Cardiotoxicity,1.0
Fentanyl,Alprazolam,Ototoxicity,5.0
Fentanyl,Alprazolam,Hepatotoxicity,0.25
Fentanyl,Alprazolam,Drug toxicity,9.79592
Fentanyl,Alprazolam,Neurotoxicity,0.714286
Fentanyl,Alprazolam,Therapeutic agent toxicity,5.55556
Fentanyl,Alprazolam,Toxicity to various agents,10.6627
dronabinol,clopidogrel,Toxicity to various agents,3.33333
Lidocaine,Allopurinol,Drug toxicity,0.909091
Lidocaine,Allopurinol,Therapeutic agent toxicity,20.0
Lidocaine,Allopurinol,Toxicity to various agents,0.555556
Alprazolam,gabapentin,Bone marrow toxicity,2.0
Alprazolam,gabapentin,Hepatotoxicity,0.888889
Alprazolam,gabapentin,Drug toxicity,3.16667
Alprazolam,gabapentin,Neurotoxicity,0.416667
Alprazolam,gabapentin,Pulmonary toxicity,1.53846
Alprazolam,gabapentin,Therapeutic agent toxicity,3.66667
Alprazolam,gabapentin,Anticonvulsant toxicity,10.0
Alprazolam,gabapentin,Toxicity to various agents,3.64865
torsemide,Cefuroxime,Drug toxicity,10.0
torsemide,Cefuroxime,Toxicity to various agents,10.0
atorvastatin,Magnesium Oxide,Haematotoxicity,5.0
atorvastatin,Magnesium Oxide,Hepatotoxicity,1.0
atorvastatin,Magnesium Oxide,Drug toxicity,0.740741
atorvastatin,Magnesium Oxide,Pulmonary toxicity,3.33333
atorvastatin,Magnesium Oxide,Toxicity to various agents,1.21951
Gliclazide,Mometasone,Toxicity to various agents,20.0
Furosemide,butenafine,Toxicity to various agents,10.0
Tramadol,Cyclophosphamide,Cardiotoxicity,10.0
Tramadol,Cyclophosphamide,Hepatotoxicity,10.0
Tramadol,Cyclophosphamide,Drug toxicity,4.28571
Tramadol,Cyclophosphamide,Neurotoxicity,10.0
Tramadol,Cyclophosphamide,Toxicity to various agents,1.66667
Aluminum Hydroxide,magnesium trisilicate,Drug toxicity,5.71429
Nicotine,Magnesium Oxide,Toxicity to various agents,5.0
Naproxen,gabapentin,Gastrointestinal toxicity,2.5
Naproxen,gabapentin,Drug toxicity,2.03704
Naproxen,gabapentin,Mitochondrial toxicity,10.0
Naproxen,gabapentin,Therapeutic agent toxicity,1.66667
Naproxen,gabapentin,Toxicity to various agents,4.4898
Magnesium,Folic Acid,Haematotoxicity,5.0
Magnesium,Folic Acid,Hepatotoxicity,1.42857
Magnesium,Folic Acid,Drug toxicity,0.384615
Magnesium,Folic Acid,Therapeutic agent toxicity,2.0
Magnesium,Folic Acid,Toxicity to various agents,0.769231
Warfarin,Cetirizine,Drug toxicity,2.17391
Warfarin,Cetirizine,Therapeutic agent toxicity,10.0
Warfarin,Cetirizine,Toxicity to various agents,1.53846
Erythromycin,Fluorouracil,Toxicity to various agents,10.0
Docusate,Ergocalciferol,Hepatotoxicity,2.5
Docusate,Ergocalciferol,Pulmonary toxicity,10.0
Docusate,Ergocalciferol,Toxicity to various agents,3.33333
pioglitazone,varenicline,Toxicity to various agents,0.625
standardized senna concentrate,Insulin Glargine,Toxicity to various agents,12.5
Amlodipine,Azathioprine,Ototoxicity,5.0
Amlodipine,Azathioprine,Hepatotoxicity,3.75
Amlodipine,Azathioprine,Drug toxicity,2.90323
Amlodipine,Azathioprine,Toxicity to various agents,0.487805
Calcium,Acyclovir,Drug toxicity,5.0
Calcium,Acyclovir,Toxicity to various agents,0.526316
pantoprazole,Esomeprazole,Bone marrow toxicity,10.0
pantoprazole,Esomeprazole,Haematotoxicity,1.42857
pantoprazole,Esomeprazole,Cardiotoxicity,2.0
pantoprazole,Esomeprazole,Gastrointestinal toxicity,10.0
pantoprazole,Esomeprazole,Hepatotoxicity,0.47619
pantoprazole,Esomeprazole,Drug toxicity,0.487805
pantoprazole,Esomeprazole,Pulmonary toxicity,2.5
pantoprazole,Esomeprazole,Therapeutic agent toxicity,7.5
pantoprazole,Esomeprazole,Toxicity to various agents,1.12069
Miconazole,Clonazepam,Drug toxicity,2.5
Labetalol,torsemide,Toxicity to various agents,5.0
Promethazine,celecoxib,Cardiotoxicity,5.0
Promethazine,celecoxib,Drug toxicity,2.5
Promethazine,celecoxib,Pulmonary toxicity,10.0
Promethazine,celecoxib,Therapeutic agent toxicity,15.0
Promethazine,celecoxib,Toxicity to various agents,4.11765
atorvastatin,Ketoprofen,Toxicity to various agents,0.769231
Gliclazide,BETAHISTINE,Drug toxicity,5.0
Phenazopyridine,Cefuroxime,Toxicity to various agents,3.33333
Midazolam,Azathioprine,Drug toxicity,10.0
Furosemide,Pravastatin,Haematotoxicity,1.25
Furosemide,Pravastatin,Hepatotoxicity,1.62162
Furosemide,Pravastatin,Drug toxicity,0.679612
Furosemide,Pravastatin,Neurotoxicity,1.42857
Furosemide,Pravastatin,Therapeutic agent toxicity,5.78947
Furosemide,Pravastatin,Toxicity to various agents,1.23457
Busulfan,Lymphocyte immune globulin,Drug toxicity,10.0
Propranolol,sildenafil,Drug toxicity,15.0
fexofenadine,ciclesonide,Toxicity to various agents,10.0
Diphenhydramine,Lorazepam,Ototoxicity,3.33333
Diphenhydramine,Lorazepam,Hepatotoxicity,0.810811
Diphenhydramine,Lorazepam,Drug toxicity,4.03226
Diphenhydramine,Lorazepam,Neurotoxicity,2.63158
Diphenhydramine,Lorazepam,Pulmonary toxicity,1.81818
Diphenhydramine,Lorazepam,Skin toxicity,2.5
Diphenhydramine,Lorazepam,Therapeutic agent toxicity,4.61538
Diphenhydramine,Lorazepam,Toxicity to various agents,1.62602
venlafaxine,oxcarbazepine,Drug toxicity,3.33333
