drug1_id,drug2_id,drug1_name,drug2_name,interaction_type,matched_toxicity_types,interaction_type_normalized
DB00390,DB00860,Digoxin,Prednisolone,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB00877,Digoxin,Sirolimus,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB00894,Digoxin,Testolactone,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB00959,Digoxin,Methylprednisolone,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB00978,Digoxin,Lomefloxacin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB00993,Digoxin,Azathioprine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB01041,Digoxin,Thalidomide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB01044,Digoxin,Gatifloxacin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB01059,Digoxin,Norfloxacin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB01103,Digoxin,Quinacrine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB01108,Digoxin,Trilostane,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB01137,Digoxin,Levofloxacin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB01155,Digoxin,Gemifloxacin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB01157,Digoxin,Trimetrexate,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB01165,Digoxin,Ofloxacin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB01179,Digoxin,Podofilox,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB01208,Digoxin,Sparfloxacin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB01234,Digoxin,Dexamethasone,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB02300,Digoxin,Calcipotriol,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB04576,Digoxin,Fleroxacin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB04786,Digoxin,Suramin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB04839,Digoxin,Cyproterone acetate,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB04894,Digoxin,Vapreotide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB05260,Digoxin,Gallium nitrate,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB06243,Digoxin,Eflornithine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB06272,Digoxin,Maxacalcitol,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB06704,Digoxin,Iobenguane,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB06710,Digoxin,Methyltestosterone,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB06771,Digoxin,Besifloxacin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB06789,Digoxin,Hydroxyprogesterone caproate,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB06791,Digoxin,Lanreotide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB06819,Digoxin,Phenylbutyric acid,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB08905,Digoxin,Formestane,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB08913,Digoxin,Radium Ra 223 Dichloride,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB09070,Digoxin,Tibolone,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB09094,Digoxin,Podophyllin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB09123,Digoxin,Dienogest,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB09124,Digoxin,Medrogestone,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB09244,Digoxin,Pirlindole,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB09269,Digoxin,Phenylacetic acid,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB09335,Digoxin,Alatrofloxacin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB09401,Digoxin,Isosorbide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB09516,Digoxin,Mequinol,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB11231,Digoxin,Lycopene,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB11793,Digoxin,Niraparib,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB12332,Digoxin,Rucaparib,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB12473,Digoxin,Taurolidine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB13145,Digoxin,Nedaplatin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB00855,Digoxin,Aminolevulinic acid,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB00992,Digoxin,Methyl aminolevulinate,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB04845,Digoxin,Ixabepilone,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB06813,Digoxin,Pralatrexate,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB08875,Digoxin,Cabozantinib,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB09143,Digoxin,Sonidegib,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB11641,Digoxin,Vinflunine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB05239,Digoxin,Cobimetinib,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB06699,Digoxin,Degarelix,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB11363,Digoxin,Alectinib,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB11581,Digoxin,Venetoclax,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB11730,Digoxin,Ribociclib,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00390,DB00432,Digoxin,Trifluridine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00398,DB09288,Sorafenib,Propacetamol,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00398,DB00511,Sorafenib,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00398,DB01078,Sorafenib,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00398,DB01092,Sorafenib,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00398,DB01396,Sorafenib,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00398,DB00531,Sorafenib,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00421,DB09449,Spironolactone,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00428,DB00511,Streptozocin,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00428,DB01078,Streptozocin,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00428,DB01092,Streptozocin,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00428,DB01396,Streptozocin,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00428,DB00531,Streptozocin,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00430,DB00479,Cefpiramide,Amikacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00430,DB00684,Cefpiramide,Tobramycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00430,DB00798,Cefpiramide,Gentamicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00430,DB01082,Cefpiramide,Streptomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00430,DB00452,Cefpiramide,Framycetin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00430,DB00955,Cefpiramide,Netilmicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00430,DB01172,Cefpiramide,Kanamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00430,DB01421,Cefpiramide,Paromomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00430,DB03615,Cefpiramide,Ribostamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00430,DB06696,Cefpiramide,Arbekacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00430,DB12615,Cefpiramide,Plazomicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00432,DB00511,Trifluridine,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00432,DB01078,Trifluridine,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00432,DB01092,Trifluridine,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00432,DB01396,Trifluridine,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00432,DB00531,Trifluridine,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00436,DB09449,Bendroflumethiazide,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00438,DB00479,Ceftazidime,Amikacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00438,DB00684,Ceftazidime,Tobramycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00438,DB00798,Ceftazidime,Gentamicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00438,DB01082,Ceftazidime,Streptomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00438,DB00452,Ceftazidime,Framycetin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00438,DB00955,Ceftazidime,Netilmicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00438,DB01172,Ceftazidime,Kanamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00438,DB01421,Ceftazidime,Paromomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00438,DB03615,Ceftazidime,Ribostamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00438,DB06696,Ceftazidime,Arbekacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00438,DB12615,Ceftazidime,Plazomicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00439,DB06589,Cerivastatin,Pazopanib,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00441,DB00511,Gemcitabine,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00441,DB01078,Gemcitabine,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00441,DB01092,Gemcitabine,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00441,DB01396,Gemcitabine,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00441,DB00531,Gemcitabine,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00442,DB00811,Entecavir,Ribavirin,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00444,DB00541,Teniposide,Vincristine,neurotoxic activities,neurotoxic activities,neurotoxicity
DB00444,DB00511,Teniposide,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00444,DB01078,Teniposide,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00444,DB01092,Teniposide,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00444,DB01396,Teniposide,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00444,DB00531,Teniposide,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00445,DB00511,Epirubicin,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00445,DB01078,Epirubicin,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00445,DB01092,Epirubicin,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00445,DB01396,Epirubicin,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00445,DB00531,Epirubicin,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00452,DB00529,Framycetin,Foscarnet,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB00742,Framycetin,Mannitol,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01111,Framycetin,Colistimethate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB00447,Framycetin,Loracarbef,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB00833,Framycetin,Cefaclor,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB00923,Framycetin,Ceforanide,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01150,Framycetin,Cefprozil,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01326,Framycetin,Cefamandole,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01328,Framycetin,Cefonicid,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01330,Framycetin,Cefotetan,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01331,Framycetin,Cefoxitin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB09062,Framycetin,Cefminox,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01112,Framycetin,Cefuroxime,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB00493,Framycetin,Cefotaxime,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB00535,Framycetin,Cefdinir,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB00671,Framycetin,Cefixime,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01066,Framycetin,Cefditoren,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01212,Framycetin,Ceftriaxone,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01329,Framycetin,Cefoperazone,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01332,Framycetin,Ceftizoxime,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01415,Framycetin,Ceftibuten,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01416,Framycetin,Cefpodoxime,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB04570,Framycetin,Latamoxef,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB01413,Framycetin,Cefepime,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB13682,Framycetin,Cefpirome,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB00681,Framycetin,Amphotericin B,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB00958,Framycetin,Carboplatin,ototoxic activities,ototoxic activities,ototoxicity
DB00452,DB00515,Framycetin,Cisplatin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00452,DB00512,Framycetin,Vancomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00459,DB00563,Acitretin,Methotrexate,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00460,DB00511,Verteporfin,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00460,DB01078,Verteporfin,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00460,DB01092,Verteporfin,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00460,DB01396,Verteporfin,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00460,DB00531,Verteporfin,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00461,DB09449,Nabumetone,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00461,DB00864,Nabumetone,Tacrolimus,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00465,DB09449,Ketorolac,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00465,DB00864,Ketorolac,Tacrolimus,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00467,DB00511,Enoxacin,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00467,DB01078,Enoxacin,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00467,DB01092,Enoxacin,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00467,DB01396,Enoxacin,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00467,DB00531,Enoxacin,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00468,DB01076,Quinine,Atorvastatin,risk or severity of renal failure and rhabdomyolysis,risk or severity of renal failure,nephrotoxicity
DB00469,DB09449,Tenoxicam,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00469,DB00864,Tenoxicam,Tacrolimus,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB00529,Amikacin,Foscarnet,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB00742,Amikacin,Mannitol,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01111,Amikacin,Colistimethate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB00447,Amikacin,Loracarbef,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB00833,Amikacin,Cefaclor,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB00923,Amikacin,Ceforanide,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01150,Amikacin,Cefprozil,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01326,Amikacin,Cefamandole,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01328,Amikacin,Cefonicid,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01330,Amikacin,Cefotetan,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01331,Amikacin,Cefoxitin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB09062,Amikacin,Cefminox,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01112,Amikacin,Cefuroxime,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB00493,Amikacin,Cefotaxime,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB00535,Amikacin,Cefdinir,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB00671,Amikacin,Cefixime,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01066,Amikacin,Cefditoren,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01212,Amikacin,Ceftriaxone,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01329,Amikacin,Cefoperazone,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01332,Amikacin,Ceftizoxime,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01415,Amikacin,Ceftibuten,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01416,Amikacin,Cefpodoxime,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB04570,Amikacin,Latamoxef,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB01413,Amikacin,Cefepime,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB13682,Amikacin,Cefpirome,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB00681,Amikacin,Amphotericin B,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB00958,Amikacin,Carboplatin,ototoxic activities,ototoxic activities,ototoxicity
DB00479,DB00515,Amikacin,Cisplatin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00479,DB00512,Amikacin,Vancomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00480,DB00511,Lenalidomide,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00480,DB01078,Lenalidomide,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00480,DB01092,Lenalidomide,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00480,DB01396,Lenalidomide,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00480,DB00531,Lenalidomide,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00482,DB09449,Celecoxib,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00482,DB00511,Celecoxib,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00482,DB01078,Celecoxib,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00482,DB01092,Celecoxib,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00482,DB01396,Celecoxib,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00482,DB00531,Celecoxib,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00482,DB00864,Celecoxib,Tacrolimus,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00487,DB00511,Pefloxacin,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00487,DB01078,Pefloxacin,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00487,DB01092,Pefloxacin,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00487,DB01396,Pefloxacin,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00487,DB00531,Pefloxacin,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00488,DB00511,Altretamine,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00488,DB01078,Altretamine,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00488,DB01092,Altretamine,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00488,DB01396,Altretamine,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00488,DB00531,Altretamine,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00492,DB09449,Fosinopril,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00492,DB08907,Fosinopril,Canagliflozin,risk or severity of renal failure and hyperkalemia,risk or severity of renal failure,nephrotoxicity
DB00493,DB00684,Cefotaxime,Tobramycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00493,DB00798,Cefotaxime,Gentamicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00493,DB01082,Cefotaxime,Streptomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00493,DB00955,Cefotaxime,Netilmicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00493,DB01172,Cefotaxime,Kanamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00493,DB01421,Cefotaxime,Paromomycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00493,DB03615,Cefotaxime,Ribostamycin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00493,DB06696,Cefotaxime,Arbekacin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00493,DB12615,Cefotaxime,Plazomicin,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00499,DB00511,Flutamide,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00499,DB01078,Flutamide,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00499,DB01092,Flutamide,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00499,DB01396,Flutamide,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00499,DB00531,Flutamide,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00500,DB09449,Tolmetin,Sodium phosphate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00500,DB00864,Tolmetin,Tacrolimus,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00511,DB00515,Acetyldigitoxin,Cisplatin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00523,Acetyldigitoxin,Alitretinoin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00526,Acetyldigitoxin,Oxaliplatin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00530,Acetyldigitoxin,Erlotinib,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00531,Acetyldigitoxin,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00541,Acetyldigitoxin,Vincristine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00544,Acetyldigitoxin,Fluorouracil,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00552,Acetyldigitoxin,Pentostatin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00563,Acetyldigitoxin,Methotrexate,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00570,Acetyldigitoxin,Vinblastine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00619,Acetyldigitoxin,Imatinib,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00631,Acetyldigitoxin,Clofarabine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00642,Acetyldigitoxin,Pemetrexed,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00648,Acetyldigitoxin,Mitotane,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00694,Acetyldigitoxin,Daunorubicin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00762,Acetyldigitoxin,Irinotecan,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00773,Acetyldigitoxin,Etoposide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00851,Acetyldigitoxin,Dacarbazine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00853,Acetyldigitoxin,Temozolomide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00888,Acetyldigitoxin,Mechlorethamine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00928,Acetyldigitoxin,Azacitidine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00958,Acetyldigitoxin,Carboplatin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00970,Acetyldigitoxin,Dactinomycin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00511,DB00987,Acetyldigitoxin,Cytarabine,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
